"","sexrace","sexp","sexd","racey","race0","age0","prace","page","pj","py","p0","jrace","jy","j0","dp","dy","d0","yage","y0","lp__"
"1",-0.28398138211878,0.405774398606279,-0.0863047791870721,0.0118044312560524,-0.239839292274377,-0.405264296903878,-0.0581791643245324,-0.075301774250067,0.111187474383454,0.0547280637986845,1.82738481930298,-0.38627097173407,-0.0513099664291201,-3.27348080002139,-0.121968039088854,-1.64306524102077,2.15369553930058,0.316864294392535,13.6555409360649,56826.3492123203
"2",-0.276787910583063,0.40594647985229,-0.0801721882983429,0.0596511906609871,-0.176148117850953,-0.387514270752369,-0.0646382049620099,-0.073880427605867,0.10948327175669,0.0530227357763421,1.83258653842931,-0.478581482936446,-0.122976353946656,-3.30346542939133,-0.122990580120765,-1.63842043304276,2.14516281843484,0.328566670139073,13.6077559822072,56823.1194009576
"3",-0.293130488501106,0.431387647343498,-0.0814008406018393,-0.248792069144867,-0.23579252689551,-0.34077258950934,-0.0554204774141165,-0.0691736921832756,0.119149772949572,0.0677021174839596,1.80855634084657,-0.34102043013663,0.339481425847217,-3.39452287227195,-0.12102380132931,-1.56927444889542,2.14725689795241,0.220871936271022,13.0595056767998,56821.7114033007
"4",-0.230023996217267,0.42506292861226,-0.0802141031459027,-0.0409958337572585,-0.257325323360463,-0.359849691250684,-0.0643001932806845,-0.0752128357546606,0.115026233475833,0.0591288960076184,1.80863262126644,-0.483801367312286,0.226326584220303,-3.29686579095913,-0.120908062854835,-1.58852613478617,2.14503317082062,0.281297860466799,13.1376290708204,56827.2648518054
"5",-0.255705335376144,0.389011021189943,-0.0752339609739212,-0.169200599804821,-0.214429280706805,-0.355190256543231,-0.0721059112345586,-0.071556255788105,0.116204488488097,0.0696237177087409,1.85520836947657,-0.294153588000241,0.338989899782113,-3.43087203744502,-0.123508339508067,-1.69522133393711,2.14140280240014,0.278722241223231,14.0694948401785,56822.8624906357
"6",-0.254164239728586,0.428630782036468,-0.0745973117673547,0.0591740874536476,-0.228115357362358,-0.359850582820283,-0.0616100853711378,-0.0723611616621015,0.10803708101253,0.0882810221814713,1.81480630936104,-0.421543839052198,0.021680174629799,-3.27651562180106,-0.123968139110117,-1.60233243444212,2.15420147065752,0.297874939196321,13.2187479313147,56822.2125938497
"7",-0.197143539451404,0.40431099771716,-0.0644177596243151,-0.0107247473505974,-0.295496582549722,-0.372370423130058,-0.0649342708145029,-0.0732322389934255,0.12034314964409,0.0477501295142276,1.84226745766716,-0.228840492823276,0.155394701552793,-3.38374151000174,-0.122286593299197,-1.61038637806564,2.14228573684651,0.270307642605637,13.4356904379572,56826.1760875414
"8",-0.153008220606273,0.395366782197097,-0.0557640785536792,-0.0326715859763724,-0.351441321708316,-0.35273222071759,-0.0577469602189619,-0.0680856442476965,0.114058551252283,0.0552304102502895,1.83135208662016,-0.2792198081426,-0.0366308722486298,-3.40062486912241,-0.122359879937386,-1.64840469055817,2.12573855080521,0.268674040593241,13.6783367313483,56822.8525942585
"9",-0.38490735178714,0.396544149861319,-0.0930966705786798,-0.0281631603374774,-0.151435607834102,-0.381393837457917,-0.0600597488014013,-0.0680899751612067,0.120376904935378,0.049164750008699,1.83362534812844,-0.397616489183285,0.23452898947672,-3.36119675925436,-0.122752557643196,-1.62977480591363,2.16457389767699,0.27298067329485,13.5098803043606,56824.3885850231
"10",-0.235501872477006,0.4051522541887,-0.0807830472364448,0.00257866900463086,-0.264895226880132,-0.343631230282452,-0.0564673115301798,-0.0781048385509568,0.117489298508638,0.0751831275144158,1.81885398417462,-0.416737884620221,-0.0406502176920505,-3.33087575174068,-0.121886087249489,-1.63641099662857,2.15011629561978,0.244797925100703,13.5494451240611,56826.9495625815
