"","sexrace","sexp","sexd","racej","racey","race0","agey","age0","prace","page","pj","py","p0","jy","j0","dp","dy","d0","y0","lp__"
"1",-0.249553983516889,0.382584913573215,-0.0958862265657218,-0.978148506617473,-0.00372589498703127,-0.264517190084312,0.106502436534987,-0.253618697851608,-0.0588823298249326,-0.0607068016529168,0.114471378633362,0.0730280109480514,1.86413445713697,0.00291873012080135,-3.19004275411709,-0.122525825645984,-1.63360674842571,2.15875317641083,13.4904229986825,56809.212138419
"2",-0.208194077547662,0.413032889904239,-0.0902816095400005,-0.71068554772194,-0.148570000520873,-0.309398966402577,0.134716050269627,-0.272118562789251,-0.0538988642378679,-0.0642022568106474,0.109351962824762,0.0514023105039407,1.83671420597618,0.0407870843846067,-3.1008772592572,-0.125031397048542,-1.65423349995856,2.15377373180909,13.7504441352988,56807.3806316509
"3",-0.303982777449254,0.411810123259883,-0.0588978898671628,-1.07722648223494,-0.0175175852793489,-0.191574967093848,0.0438072337033616,-0.269100075621645,-0.0737313575860455,-0.0636812901041993,0.11675403001141,0.069670427927019,1.83013955145575,0.134979413045878,-3.18131001862945,-0.121734798013465,-1.65729130492665,2.1359854003376,13.7186847058476,56809.3398679761
"4",-0.202526950019262,0.406017899260734,-0.0911405828875637,-0.8511587362733,0.0605481215146465,-0.25672737665912,0.190592660476633,-0.244888855724739,-0.0700716989995962,-0.0640889212134805,0.109200851444221,0.0886692579005648,1.84506209341537,0.103979152521482,-3.15966272921765,-0.123854257729481,-1.6293354067406,2.15792699102717,13.2702416963811,56810.810883518
"5",-0.362378035635318,0.425609220877203,-0.0651096691103473,-0.94055559690917,-0.0247269917053171,-0.171007775552698,0.160628657956027,-0.258986184883302,-0.054756946562325,-0.0625033910803355,0.104289905470914,0.0621784704996279,1.80958544476739,-0.0570161874346921,-3.02249539680886,-0.12192386718682,-1.67673092854649,2.1309309570437,13.8027843127111,56808.9209962425
"6",-0.345729045815893,0.436002792100441,-0.0545659946269224,-0.940450808526665,-0.0507922913886944,-0.195415225438484,0.211784233202357,-0.264997285174889,-0.0573997388959179,-0.0600445866823169,0.105376600285293,0.0671017895874277,1.78690222481852,-0.0208953511637683,-3.03046828282159,-0.119991884426523,-1.66993861982319,2.13231545233043,13.7049714883459,56809.8520294986
"7",-0.397385884613307,0.467705442702547,-0.0592657049234773,-1.01647362599335,-0.159128872455545,-0.163737557594559,0.204701403931418,-0.261723492819423,-0.057798839370063,-0.0614571537489899,0.105037060281891,0.0640960341349348,1.76902882850149,-0.0215835918159051,-3.08533093184108,-0.121425918197013,-1.65101611499753,2.13100239608874,13.672895649091,56805.9600167965
"8",-0.242141638452317,0.374758481402356,-0.0888931136723213,-0.818205866359986,0.103726086882135,-0.279175145101755,0.134531304253887,-0.255593261849293,-0.0741189818914658,-0.0589092523931657,0.109534728329799,0.0610403665566715,1.89613961207517,0.16441240710129,-3.13603254183492,-0.125712738630687,-1.61730783729066,2.16141303532303,13.3351169494199,56805.4268015991
"9",-0.243564819408931,0.3786126776044,-0.0881116662024976,-0.789906456268769,0.10575937189887,-0.281172378079709,0.135266473878244,-0.25835930179757,-0.0740474592904502,-0.0608377226694323,0.110014619539489,0.0608474677118945,1.88993586693807,0.168455540487948,-3.11635875216051,-0.125288928092895,-1.62866442870756,2.15783194862174,13.3297194609668,56806.0436985854
"10",-0.234420051646389,0.443607994045119,-0.0600036197960409,-0.84589046268174,-0.142129917858777,-0.254749295800681,0.171561221741032,-0.262283556253541,-0.0559973459368732,-0.0602016880358341,0.119346852896904,0.0668667862601567,1.7858065083059,0.0449994463009345,-3.20362914865074,-0.121485674710192,-1.66955085949995,2.13591718565283,13.840221713053,56807.4676048653
"11",-0.317589523964782,0.412957838069828,-0.0863811299127548,-0.9303902541069,0.0325969592737707,-0.180291344771541,0.108101305072007,-0.256928539817759,-0.0704412552677167,-0.0615516008612916,0.10858852585517,0.0573954845810649,1.8345495076031,0.252933289804678,-3.01143719079186,-0.122984884481869,-1.67580371552889,2.15553087188649,13.7738355006406,56809.4932206688
"12",-0.206745620858088,0.405816810210616,-0.0545109052056626,-0.804776770876136,-0.0437646311240608,-0.288512578321859,0.14859037884368,-0.262223511261942,-0.0656941057805679,-0.0641862572002523,0.110850254266322,0.0620277590296565,1.83028170286362,0.154552935041514,-3.16265753697877,-0.121460332984319,-1.60593817626412,2.12970319262413,13.1917459329307,56813.1246167669
"13",-0.209731993493456,0.413829057469845,-0.0831095398649886,-0.983917570507003,-0.216684260177889,-0.356406381029958,0.109411203164254,-0.267167023463296,-0.0545268756433935,-0.0625284781861836,0.112579254987852,0.0726443708670478,1.83179423837875,0.119175431700787,-3.10407378048574,-0.123561136240075,-1.58004732990464,2.15474150189107,13.0874955462958,56809.3470299155
"14",-0.180229867144215,0.405009268572826,-0.0921235530108573,-0.778448043444979,-0.163012343368381,-0.313793089012593,0.132652608357421,-0.296063599795572,-0.0602144911052574,-0.0591969141996991,0.10217892765826,0.060030656837504,1.83033205500549,0.100209638427586,-3.08015176302462,-0.121878375992076,-1.58321577967002,2.15972777872916,13.1089538455587,56808.439895007
"15",-0.281361855262691,0.416124962076205,-0.0766347213794835,-1.05985677932878,0.0128554692697825,-0.220458258988675,0.212971736024971,-0.238981016229815,-0.0642112905811702,-0.0688825714097609,0.11299491541165,0.0802261203980832,1.84612144068594,0.040461282011169,-3.19872334068049,-0.124564437030895,-1.64737819943914,2.14711068154673,13.4839578632777,56812.0030562394
"16",-0.266138338368158,0.417228884119803,-0.0812098921869236,-0.651620009065892,-0.161358255613229,-0.214318288162541,0.188613263324711,-0.275240232212752,-0.0625085358505708,-0.0602558779326635,0.107097621979498,0.0659869036263815,1.84775433722677,0.0600970164597564,-3.10754431495337,-0.125359030719246,-1.60751814082997,2.14845530308563,13.270109420143,56810.4086408867
"17",-0.191324437294411,0.42328337833657,-0.0679837068035906,-1.29485471526904,0.0703115481024707,-0.293536767664504,0.128366871826538,-0.254948741005903,-0.0616235535376676,-0.0605994664525469,0.109470661489132,0.0667008735368747,1.84218937449704,0.136489838735973,-3.06813659107786,-0.125595589011345,-1.64692178229065,2.14458123809236,13.5352065692742,56809.8392134758
"18",-0.151306636071237,0.4559490150458,-0.0714769634891911,-0.682064389693716,-0.0562286856288348,-0.298947311109806,0.210505092475389,-0.269531394046162,-0.0616395076882036,-0.0629654461531471,0.108549746607455,0.0730800186764411,1.76071108995836,0.0835398792827197,-3.13873433485334,-0.118522105480639,-1.61491648895654,2.14806408526133,13.268278260734,56805.9353697794
"19",-0.296814828768513,0.414421790606934,-0.0697027559658781,-0.876162400550611,-0.132827828536169,-0.161779257875058,0.0723627343288516,-0.233978168292486,-0.0607641002816038,-0.0660247873032743,0.112412989856613,0.0630959711919458,1.82916271842677,-0.0276181033380805,-3.12751727082419,-0.123440309318665,-1.61814558580227,2.14551928440617,13.387516171043,56808.9921717076
"20",-0.315423740501787,0.410598857749811,-0.0799205874284556,-0.90240307153367,-0.0397958711624676,-0.248201552045227,0.126635090072107,-0.252410928744276,-0.0711583789821673,-0.0680975806822074,0.101856019980768,0.0811222710876522,1.85592100753481,0.0123056677521528,-3.07374530045526,-0.125838170190804,-1.64486539951023,2.15023018142384,13.4848005656403,56808.428337201
"21",-0.243547834060489,0.427697167201612,-0.0826472936357965,-1.08100257702496,-0.0485282950986963,-0.235856044025212,0.161039982474159,-0.252314984497743,-0.0594743507288078,-0.0662653876500345,0.110845544913323,0.076064904580626,1.86155973943345,0.0765736894876775,-3.08046045232615,-0.128754397681337,-1.62908924859729,2.15187274151411,13.3662048889621,56809.199640508
