"","sexrace","sexp","sexd","racej","racey","race0","agey","age0","prace","page","pj","py","p0","j0","dp","dy","d0","yj","y0","lp__"
"1",-0.353257330491511,0.437462490445009,-0.0670311789225062,-0.889068482173629,-0.131910170550374,-0.120933753391615,0.106054196457794,-0.26580421030092,-0.0694805092883179,-0.0573082500259272,0.095118228194528,0.0659861253477393,1.82093887487456,-3.64533373626411,-0.123170622140478,-1.6262322786824,2.14298810536273,0.855817921129859,13.4934880001886,56848.7305904132
"2",-0.349068782909662,0.407850979701559,-0.0691655881882615,-0.822874011444387,-0.0600507029137273,-0.199395695457462,0.0845561994197955,-0.281283947312021,-0.0696512301433866,-0.0587069711122035,0.0955936236061183,0.0625843266213624,1.8212486877934,-3.50786805595672,-0.120463902213334,-1.67202908315504,2.13728063596845,0.895496439777139,13.8119816877981,56848.8918017788
"3",-0.342758197370593,0.423923919771718,-0.0822790642278056,-0.998230770178232,-0.00941366975595137,-0.233733552560376,0.20828727997776,-0.267000044772503,-0.0597861078069218,-0.0628682460925256,0.103878491781463,0.0767912276800275,1.83441742653871,-3.64394487865205,-0.123997540093183,-1.65907997874557,2.14907173260347,0.942522571975921,13.5736155126508,56850.9636805158
"4",-0.320720824129579,0.42357792932195,-0.076268914443834,-1.01694597597187,-0.0315945917221568,-0.177681082441393,0.151590006648834,-0.253006826801227,-0.0573741735683877,-0.0667340437713647,0.0981187981093382,0.0737931408928493,1.82466705975462,-3.6417309482056,-0.125277980058884,-1.67270872800476,2.15206801133435,0.944328221156318,13.7475104837374,56850.5255228779
"5",-0.286312747244393,0.424447806038615,-0.0655270001307722,-0.742591788029363,-0.045320681204104,-0.216767225111877,0.240422379184272,-0.270643925424209,-0.0679324208892303,-0.0597275314638112,0.0940875690721858,0.0686724993680459,1.80485198815761,-3.63473066461759,-0.119313907481858,-1.63640037312027,2.14129602037239,0.909780436277069,13.4594047358253,56851.6046844416
"6",-0.281685058993017,0.411605564177002,-0.0730916838282035,-0.971119792614859,-0.170841010348108,-0.219065100906583,0.258706962724273,-0.274397939597596,-0.0692359766042699,-0.0571845061489424,0.0948015068455025,0.0690092776449979,1.81429967230412,-3.52059467249224,-0.118794132135693,-1.60942960972307,2.14306233296855,0.868897427310703,13.1745757310333,56848.2078963378
"7",-0.325563901713445,0.42426126814295,-0.0692913006587016,-1.10157322250446,0.0166565193326393,-0.188376921898134,0.194618108311824,-0.266550452681377,-0.0667900054182335,-0.0651345616096769,0.109382583103192,0.0733042248786254,1.82429807569595,-3.71650724776931,-0.122642603864694,-1.6052212606986,2.14272631000519,0.862158082323166,13.1483867931604,56849.9628622385
"8",-0.25361721411944,0.390307729596732,-0.085107755976595,-0.844961965661963,0.0596705856907257,-0.254136823498608,0.0447929438444969,-0.251449749957587,-0.0622102678189593,-0.0611048775343476,0.0939070492196176,0.0608214784332268,1.86923760441365,-3.60469552066346,-0.124120802901793,-1.60537825893717,2.15463052580235,0.937008425916843,13.2955332983762,56850.8807746449
"9",-0.342009352766061,0.415105867827275,-0.0680136121031653,-0.825322534402548,0.111468633278342,-0.144905719381078,0.0713953335555061,-0.24534576395575,-0.0635929629358583,-0.0623331835988459,0.0977863434431784,0.069777466140289,1.82425241781987,-3.7299752323876,-0.122505183248004,-1.62927458644845,2.1390531798149,1.01061280951979,13.4576443676489,56851.0903753492
"10",-0.279593499122669,0.411018403731789,-0.0807227545767136,-0.971526769199221,-0.238195768680482,-0.259919983886945,0.218917657311636,-0.26880462945618,-0.0652299370402839,-0.0596367863486956,0.0940071234264453,0.0657132505302101,1.81642664355344,-3.49278273162824,-0.121067787128103,-1.61962346958088,2.15506380865096,0.825045590152737,13.3240825528352,56851.535156917
