"","sexrace","sexp","sexj","sex0","racej","race0","agerace","agep","agej","agey","prace","pj","p0","j0","dsex","dp","dj","d0","ysex","yrace","yp","yj","yd","y0","lp__"
"1",-0.25831767920595,0.399311233582938,1.38855965693968,1.84747574459929,-0.823999865649944,-0.0950378294477327,-0.0914278958175762,-0.368553207745736,0.228764449017987,0.0751619822739674,-0.070299080730337,0.0885529629572413,1.26438097600732,-4.25592917862576,-0.0647459946162571,-0.0606903307319598,-0.0798139708525891,2.27500740505505,0.324888497511386,-0.126518427550989,0.547843118260034,0.651555149740464,-0.493011168721868,-0.234423548840716,59780.8792954458
"2",-0.175860284830688,0.418155561654839,1.25017770032514,1.95588600339238,-0.786875071087491,-0.178567393041919,-0.083438426810123,-0.366583926283007,0.204173257404148,0.0687548412008137,-0.0624160830226763,0.085907260617874,1.28309943138743,-4.40553521151352,-0.076327208971282,-0.063953809515004,-0.0514991544770864,2.27245860053035,0.245446478128541,-0.199706033993601,0.531468638076348,0.792633971565685,-0.494724449534954,-0.231456791741737,59780.1714184844
"3",-0.191544944672099,0.393191833982102,1.45018040402646,2.05422057528237,-0.766237080383669,-0.156761513849597,-0.122681246312626,-0.357438641087468,0.122376450440738,0.0944630545148589,-0.062348179955541,0.0947694194935496,1.28226832246248,-4.75343811208212,-0.0847360278049831,-0.0619564834506964,-0.0517536732239308,2.28481197740273,0.169872965314533,-0.18133404887338,0.542192177134389,0.877544372380654,-0.488124164445024,-0.249047747044506,59777.4362624945
"4",-0.261085252543054,0.446775627781789,1.27278494720958,2.1115990323237,-0.775761854656128,-0.123286758532153,-0.0989543255012121,-0.352970568622281,0.202771077998752,0.119218841712685,-0.0647756141582384,0.0946135735765698,1.2593574569406,-4.00275536752349,-0.0881516195433378,-0.0652486925671592,-0.0863415671480861,2.27600312416637,0.119735064297716,-0.141700726026845,0.530042822922649,0.363934862106991,-0.495026535117681,-0.278703549070955,59781.4435508307
"5",-0.219003627211487,0.41789233852012,1.09725333857594,1.89992739198538,-0.98325313432737,-0.0722786133072147,-0.176021094247584,-0.356457901305213,0.383380160449363,0.14544174394333,-0.0693096583308504,0.100926308950217,1.26622651133571,-4.65855848806924,-0.0699869399222611,-0.0603098589605798,-0.0409717336820482,2.28154051236901,0.23762255150367,-0.188429625881655,0.521047154039791,0.822192316810718,-0.483266806288317,-0.291692743375421,59773.4533500775
"6",-0.200407788599234,0.418361898410496,1.01461737216083,1.67738817556904,-0.767898715025623,-0.217221349892133,-0.0538367121305026,-0.353094274263036,0.251601913425783,0.068038343256592,-0.0610270599140003,0.0936268490169919,1.27918668768983,-3.70048621338451,-0.0487675917406584,-0.0642132040876816,-0.0888060677577439,2.27303293504977,0.293506309886454,-0.116495364487108,0.531576726836795,0.47480117386464,-0.485922649128622,-0.234228708964708,59781.1963423478
"7",-0.358878639020704,0.421716781937094,1.18146422327121,1.94234571434332,-0.733606120128344,-0.0334621367417851,-0.0835560686203155,-0.363204426528819,0.24875666905481,0.164394144389674,-0.060150457954304,0.0899870802411059,1.31026591522232,-4.36130103449445,-0.0782902963959752,-0.0652634106489876,-0.0605686738544928,2.28186833944913,0.267113488589807,-0.205285473951083,0.508368730375831,0.757496981786686,-0.498653574574028,-0.320887719468143,59779.7036593522
"8",-0.126774723022888,0.388032647629422,0.78905517951372,2.28699207064973,-1.00939770834095,-0.247276881783011,-0.113288113060704,-0.352818682851754,0.277971714103426,0.0771099992913254,-0.0665776459451016,0.103794737834483,1.28445340079968,-3.2356065861056,-0.107862220595734,-0.0635393037610456,-0.1353200105464,2.27923358453553,0.135971821161223,-0.145578309799049,0.534129707549369,0.232667164773961,-0.488381599199139,-0.227668792799064,59768.9774085377
"9",-0.144008358086148,0.431635449438965,0.998490588573136,2.11668257683061,-0.898584090437232,-0.161987947871895,-0.123191787158185,-0.349616008649837,0.197404836786038,0.0741618085205737,-0.0641839032025579,0.0993962777433458,1.24964705122302,-3.4532838359507,-0.090998286511027,-0.060591641270391,-0.100386579689057,2.27045197401113,0.0934753980051759,-0.18645930423805,0.531916318610546,0.233475898587652,-0.486517491714741,-0.267359592820216,59773.1404739535
"10",-0.28403081420916,0.392987600391093,0.99565495466752,1.9759998291641,-0.691767434467741,-0.121115752581684,-0.0212312065033342,-0.366192152141325,0.16750837729731,0.170960238626283,-0.0547918268756863,0.0926250508794097,1.28572756848928,-3.49514519334971,-0.0773432172439867,-0.0619460424974174,-0.124125634729679,2.28279802958303,0.274368816391333,-0.22450035300058,0.547592586784419,0.399032380813883,-0.481358816432399,-0.292221931114109,59773.0265749274
