"","sexrace","sexp","sexj","sexy","sex0","racej","race0","agerace","agep","agej","agey","prace","pj","p0","j0","dsex","dp","dj","dy","yrace","yp","yj","y0","lp__"
"1",-0.240796641610951,0.354564367737606,1.04594233059523,0.101810974613048,2.46174805277016,-1.01236645596524,-0.213717691549772,-0.0114102549744798,-0.355431976297836,0.182704252130645,0.104037365419847,-0.0570783374305619,0.0947636924864351,1.33901915415807,-3.85005529249297,-0.121533479930761,-0.0639866502322519,-0.0876207971109231,-1.66970428435715,-0.187986053244785,0.533692452053798,0.506692614739778,13.9454185552715,-2044.50015772194
"2",-0.143702739060194,0.394709175468031,1.34116321754867,0.195017451943849,2.35811073766479,-0.921745538825708,-0.232264562381194,-0.0831534386306176,-0.361251696332077,0.19692765536295,0.0802046181656796,-0.0485654343394679,0.0936190787261578,1.33239318407767,-3.71758049594274,-0.114379650980962,-0.0663561366011608,-0.113225381648674,-1.62875132993563,-0.231536837537287,0.515118717355312,0.266478912309531,13.4662656635025,-2042.21118827111
"3",-0.348201076419551,0.39532197380062,1.31054987056585,0.108361541039362,2.139571128127,-0.835713158527246,-0.0163075275601948,-0.147656995323765,-0.34996717736263,0.251711597056681,0.0867922667971751,-0.0709432921969534,0.0989962368488815,1.24056202028318,-4.53710348904407,-0.0870604609683128,-0.0580654310652952,-0.0626019898161942,-1.69778166451068,-0.134999704617696,0.554742521087216,0.824976533550894,14.2044301271005,-2041.2128751135
"4",-0.173972670843119,0.430374710189569,1.04696989672643,0.358441795552278,2.41653754101746,-0.866280023118413,-0.281945595649505,-0.0639030236124139,-0.356547299045782,0.213162950008889,0.061396024350165,-0.0516000659844608,0.0975515788677475,1.2794359384961,-4.09688986858939,-0.118565405048749,-0.0643082032472599,-0.0812195690996549,-1.62177536182959,-0.199622205888984,0.514813483225293,0.657750802112427,13.3056882205486,-2042.20228212396
"5",-0.181167321494505,0.440508214119407,1.04451095869681,0.2607449493228,2.23624061946543,-1.09307136721176,-0.181536146475348,-0.077637962470125,-0.360673396035351,0.28451333933762,0.0264160894672724,-0.078459293214208,0.0924262816902643,1.26332076863916,-3.84187276580001,-0.0975399203948564,-0.0652579691701204,-0.0806157875744695,-1.62750089845645,-0.196774983820902,0.540490065406579,0.453650029152545,13.5193030837459,-2043.12909110617
"6",-0.33272296133351,0.410639541689275,0.850782007948748,0.320707197188834,2.08944567503281,-1.06743128494427,-0.0690614414464067,-0.100798461714642,-0.345975757580029,0.232374266380404,0.0195459312103996,-0.0697718220225984,0.0902502958073516,1.25430356787133,-3.71599800940207,-0.0789617205044091,-0.0604561204787488,-0.0845925670231191,-1.63058360584725,-0.154896491083151,0.530962599832233,0.630062484339766,13.3802422918541,-2042.97300280013
"7",-0.317746429690211,0.407247824131729,1.11990486499349,0.169133751309084,2.27654570635564,-0.704676776193029,-0.00450350170412377,-0.119390923260146,-0.368293119200962,0.248871308034124,0.145356715001087,-0.0619091700928156,0.104985793105579,1.30657271742182,-4.13185051130567,-0.107499722854615,-0.0635670364744017,-0.0822217961288399,-1.7091465503011,-0.209518175398102,0.507688682815963,0.569294113667695,14.2684989001029,-2042.29846041099
"8",-0.242519268945921,0.447901111876831,1.04192286289869,0.201833919271496,2.34950132018725,-0.810627848068716,-0.159023703157105,-0.0831710926734638,-0.340349906178192,0.280742736862564,-0.000285774614948707,-0.0658673062470843,0.0875237955610806,1.22202087400878,-4.01450610655318,-0.11594183072115,-0.0599792464382337,-0.0660307458236785,-1.72744494403638,-0.141980853258525,0.533412089733175,0.561957358441191,14.3576792833168,-2044.1608521106
"9",-0.308614507769112,0.403129023426825,1.19671313452209,0.240208813468267,2.39166079189832,-0.917822667568355,-0.0590617091343211,-0.108694364086589,-0.364929242080099,0.157073028755219,0.131234346145119,-0.0587976857843775,0.100766586845841,1.21967315172732,-4.05474070003886,-0.118520305382691,-0.0576712737148385,-0.0858052152726165,-1.66048437699923,-0.198671633795284,0.56292726326309,0.557749973072354,13.6177806545037,-2043.74725550592
"10",-0.279255666726247,0.407243611237774,1.02956561509725,0.281216436714523,2.31275315794739,-0.793921732288338,-0.103237367603788,-0.126108574163269,-0.370493687688109,0.159305637529168,0.111038879973056,-0.0551647930524928,0.0888191473774112,1.24085195220921,-3.83400116316361,-0.110013812118559,-0.0590257314804912,-0.0723189721007656,-1.66272038991965,-0.20159825617955,0.567751493213709,0.459527745898854,13.7999769517354,-2041.95846483001
"11",-0.36113784157166,0.412477245067293,1.28717838149742,0.190658594453114,1.90824877400104,-1.06679036551873,-0.0824399743311633,-0.0412766006249363,-0.350092693691895,0.282610280191592,0.0356252775521275,-0.0691170378563234,0.0975885233417964,1.26867810249665,-3.87232931950715,-0.0650886761554082,-0.0632653090730438,-0.107205744454773,-1.63182917831073,-0.168885846406748,0.550123869046057,0.453250982358353,13.4955397136913,-2050.28926042761
"12",-0.176530183069075,0.426843026852606,0.981204973080528,0.334394744802158,2.34474834095222,-0.672259970698512,-0.115094225710578,-0.156436692254241,-0.363341092248937,0.304982296143507,0.0437785033869085,-0.0530554574896098,0.0982069602313908,1.28773041707217,-4.25014519766177,-0.111306205635573,-0.0659420531327984,-0.0499951346797559,-1.70101068206671,-0.241224630650668,0.536897860301784,0.639593842500686,14.054039866103,-2041.572175158
"13",-0.248638413394812,0.401459114262569,1.22054915002818,0.0978709757903334,2.22179456100695,-1.02665112715282,-0.146562269859357,-0.157404968053433,-0.355102607647598,0.15010852447292,0.13351107084108,-0.0591047549834127,0.0913509760291741,1.28955343404553,-3.88012938513999,-0.0966353409538895,-0.0633357777438214,-0.0792859769137008,-1.63920326966913,-0.125510510582,0.51658077904071,0.468145965883511,13.5835723490643,-2042.22571122023
"14",-0.244698853848742,0.413603772014522,1.00233701710602,0.425643637965286,2.11109824931218,-0.697981111845298,-0.144496271855633,-0.0514065641082152,-0.358288410266753,0.340387881794233,0.0624375028514722,-0.0723579218762294,0.0979072034779675,1.3061029923299,-4.06343336722174,-0.0846434933294877,-0.0652310723317719,-0.0779326374381213,-1.68352745090802,-0.148180433383051,0.519440467657386,0.661506663462486,13.7825152940301,-2039.69324273186
"15",-0.267177343854342,0.419044871466734,1.19560124378859,0.155083410196329,2.44081472337986,-0.896180030538135,-0.127223960397814,-0.0838554656808291,-0.350152350564311,0.133439694837303,0.100163009685041,-0.063409630093701,0.0988831512904231,1.27064532256494,-4.09320752203213,-0.116995673356175,-0.0630945921657991,-0.0727138939132293,-1.65584449770006,-0.183516269068773,0.53162417123793,0.571250828655838,13.7932787172406,-2036.35822754822
