"","sexrace","sexp","sexj","sexd","sex0","racej","race0","agerace","agep","agej","age0","prace","pj","p0","j0","dp","dj","d0","ysex","yrace","yage","yp","yj","yd","lp__"
"1",-0.30097639379475,0.405086499133907,0.773627760580866,-0.0128174665567048,1.19243713514794,-1.09930707398511,-0.111889276942669,-0.0444232986801001,-0.3617898653632,0.182544275063972,-0.489670766906561,-0.0581114569089739,0.097824141755715,1.26379973391327,-3.56997687508968,-0.0624416044845126,-0.112662143966219,2.28267987340221,0.451220379030212,-0.232486128608217,0.121606265683073,0.545374400395967,0.765559414116334,-0.47638996028309,58047.5223167252
"2",-0.1774881632117,0.427980223016359,1.04540225048605,-0.0158840006491178,1.28101107111566,-0.596959446919855,-0.232252029040371,-0.102408134197725,-0.361043027029808,0.214489172783819,-0.502259518915216,-0.0600362327276004,0.0879614802263311,1.20995770029723,-3.99714490898598,-0.0577945589424969,-0.0486744267609616,2.29690323462612,0.49099226613366,-0.100238753105445,0.0988282860788541,0.545011268594064,0.412841891275281,-0.507797173411412,58044.8088483794
"3",-0.281227116119876,0.395007884723131,0.877858267853496,-0.0200126460947269,1.23201680922246,-0.997801549275412,-0.0675781567040797,-0.072799850768947,-0.337315466594554,0.260559783525498,-0.489947496282217,-0.0573157241560127,0.102279717950039,1.2554844850806,-3.6476401734157,-0.0613965463050217,-0.125545793974832,2.29216090093966,0.377732718683215,-0.254045528567042,0.143473853311282,0.547251603847923,0.673783151602049,-0.470881411324147,58043.0198749623
"4",-0.19444362022645,0.438640912581787,1.34644330337643,-0.0205394911135537,1.15773418144863,-0.77260278246358,-0.164047315605365,-0.135322155623447,-0.375946783625537,0.212997557766899,-0.482836667053408,-0.0583426933215423,0.103258935362149,1.26840317018916,-4.60434707421197,-0.0637438903699443,-0.0829650168441168,2.30520238115401,0.480013860496654,-0.0964677531646017,0.135872184781737,0.539137561849885,0.889321999459574,-0.498484384092537,58041.0040870963
"5",-0.297348540433855,0.395383449279726,1.51350348815236,-0.0280530691706871,1.25748987464513,-0.797470065850714,-0.0717722313410766,-0.0801020541926172,-0.346198779132984,0.228421110826432,-0.526610998371436,-0.0621394574962454,0.0813285875835072,1.2634792068337,-4.55052903091205,-0.0601469640212934,-0.0450701674640103,2.30264043349979,0.534581777840653,-0.261774414177574,0.121903964295106,0.538459859516449,0.602493273751909,-0.48386332365318,58048.8602129996
"6",-0.223853148380431,0.404428429322986,0.946985798599368,-0.0413524665545529,1.20770806633655,-0.705389587285191,-0.18286278915339,-0.0816580588982147,-0.371291562172061,0.246303468927549,-0.485135232926635,-0.0689238897423184,0.107335957893619,1.34533154991141,-3.91096768179522,-0.0672176437646451,-0.0991983208696929,2.31283796982061,0.423728686871739,-0.10249710075298,0.136536732272697,0.513876006126103,0.650302511568651,-0.485945896746756,58047.6677857831
"7",-0.178150262861806,0.391342824966172,0.999587568653602,-0.0392022338827778,1.23788986337196,-0.617820399666296,-0.190570494175701,-0.0857397333348802,-0.375097224854085,0.284447093535515,-0.48671966145108,-0.072894117045583,0.102797292776396,1.36015537473958,-3.9847969975593,-0.0676652015755526,-0.101488065244818,2.31850999958519,0.450544454809079,-0.0947356878070133,0.126049771167406,0.514885469507952,0.623733662568531,-0.490026915668049,58047.4707093716
"8",-0.10995765270105,0.401567357252016,1.2096852699859,-0.0330764218907158,1.26313427953559,-0.894237681385361,-0.22686216971976,-0.126182705172744,-0.359258501509122,0.220648719759981,-0.492401281358496,-0.054020047544901,0.0924718714886196,1.32139584719031,-4.07981533414504,-0.0656093835970526,-0.06236084638776,2.309182325247,0.511780218492089,-0.250751865690121,0.0760454651601526,0.510058435362301,0.430375157405198,-0.477988402104521,58050.5776296619
"9",-0.342251239947551,0.420956855155768,1.12289288115733,-0.0128719872896396,1.18480893060387,-0.68555819989247,-0.0724702825860567,-0.0292092541946025,-0.353826121308097,0.300416520874714,-0.525373130194883,-0.0591306011148812,0.100356020290482,1.23372016499089,-4.10224613622255,-0.0592711121920637,-0.0867507155925977,2.28264755891949,0.537304913330334,-0.152331092539066,0.154700612171568,0.546629696322443,0.576183121829312,-0.500263298109968,58051.8480265378
"10",-0.230096454738114,0.405050850995667,1.04803187074046,-0.0105085145964022,1.14708493682125,-0.648325195686163,-0.0442104446597128,-0.127213653753783,-0.350405828031576,0.220835354455774,-0.507902122479965,-0.0690689445149799,0.0976668827804698,1.2481873745957,-4.15220612989622,-0.0618781208120342,-0.0625037129129938,2.27916374281409,0.579186852414758,-0.138731854436269,0.130596885197561,0.558494689275762,0.649426493066388,-0.483698865769161,58052.1500971076
