"","racesex","raceUGPA","racefirst_pf","race0","sexUGPA","sex0","LSATrace","LSATsex","LSATUGPA","LSATfirst_pf","UGPA0","first_pfUGPA","first_pf0","sigma_h_Sq","sigma_h","lp__"
"1",0.0467741152193567,0.0259831636183121,0.146911183392902,1.25336775371758,-0.130096590495094,-0.691407162201929,0.0157546987749167,0.0176632950032887,0.0147899427835443,0.100179659935465,2.46835000070756,0.144225839250437,-2.36852765885648,0.152186377751456,0.390110724989017,102594.75365062
"2",0.0468531046069625,0.0219791237191681,0.147885706786422,1.25282574686001,-0.131061138381527,-0.691250702005813,0.0156664918661045,0.0180846814678641,0.0161178302300191,0.100820453256296,2.44062546518565,0.140427965527714,-2.36845220237397,0.154667403533387,0.39327776892851,102594.300852029
"3",0.0796051711173478,0.0252263742111355,0.132317736631897,1.2387629502772,-0.147323565010164,-0.786666820907226,0.0162060013067661,0.0148505697229656,0.0142401927885282,0.105171352715636,2.49324732340978,0.147833949172642,-2.44217924017393,0.151608508450248,0.389369372768645,102599.875484798
"4",0.0587398029177707,0.0234200392800774,0.14159762549407,1.23240427681034,-0.123739286538371,-0.834761298779627,0.0162743893325996,0.0191398268352831,0.0143587868066952,0.107664116734302,2.47947727544464,0.151376350457583,-2.47699555216428,0.154789566205932,0.393433051745697,102601.188875756
"5",0.0631753421352334,0.0272185840960345,0.151434485851029,1.25408587757726,-0.124835911520028,-0.863919298637009,0.0155964315573927,0.0202376556231092,0.0154206072881225,0.105954420820479,2.44481450799492,0.130083660622339,-2.53044971278708,0.153058500736994,0.391226917193838,102613.976641059
"6",0.0600396446640616,0.0273225721288857,0.155915030881658,1.24494072654215,-0.135434562413709,-0.89824078058675,0.0160552779875421,0.0214176043040088,0.0153769607466794,0.105377434731954,2.44191800641512,0.138696155992613,-2.54475889177491,0.15414481518345,0.3926128056794,102618.086652089
"7",0.0674205018254259,0.0222707321428904,0.163396606504326,1.27925520101243,-0.143222443125813,-0.921207585061008,0.015136886715781,0.020090046528376,0.0150014257941469,0.105955117020816,2.50598112466168,0.129758681756289,-2.57352605691236,0.153092166814442,0.391269941107724,102616.284075354
"8",0.0754462651957971,0.0277085696353785,0.165597869665786,1.19286807423449,-0.135203829682873,-0.939701566248388,0.0174516211958679,0.0196258185043833,0.014584563424247,0.10453074807499,2.45997734245132,0.148144340393312,-2.59058016730051,0.154583609753899,0.393171221929961,102615.083238068
"9",0.0755039213123487,0.0275467523154545,0.165590497624412,1.19279230166552,-0.141779765247666,-0.939655759318594,0.0174157451896124,0.0195611131942351,0.0148263230756336,0.104474589886393,2.45929322729009,0.144583784257769,-2.59074879190475,0.155458850957477,0.394282704360053,102615.456968949
"10",0.0787879858412416,0.0225158512501014,0.163908775532183,1.21352212681645,-0.13561093101114,-0.939493789873256,0.0168415108333366,0.0187079426817142,0.0146591859769109,0.105180849142881,2.49530554355171,0.144989536334856,-2.58814764760936,0.152246193764974,0.390187382887983,102620.386842733
