"","racesex","raceUGPA","race0","sexUGPA","sex0","LSATrace","LSATsex","LSATUGPA","LSATfirst_pf","UGPA0","first_pfrace","first_pfUGPA","first_pf0","sigma_h_Sq","sigma_h","lp__"
"1",0.0596921649591083,0.0238973262945841,1.19767593493296,-0.134180945737862,-1.05977052811632,0.0134742799012661,0.026098692408412,0.0142054329385726,0.166128202586469,2.4974985945734,0.146259786369364,0.149061879158532,-3.70591213164067,0.149528841766781,0.386689593558943,102674.722137724
"2",0.0633728323725576,0.0223347594215139,1.19598026060355,-0.136460193264936,-1.10528436962129,0.0136793143927573,0.0265937193364849,0.0150988508724741,0.174134947127412,2.47600768451177,0.146982786905977,0.1482430410955,-4.03565639256641,0.15099871729643,0.388585534080245,102680.249409678
"3",0.0642227089788324,0.0234530508968328,1.21997174991974,-0.134530962707926,-1.10565271348403,0.0129079713629619,0.025761171740955,0.015466712844074,0.174600236522179,2.46993529178101,0.14926464987917,0.131220386513406,-3.96605402404634,0.155208805308496,0.393965487458604,102680.575189319
"4",0.0641069716893262,0.0254715891317364,1.18465597879759,-0.134313260382907,-1.08334576514536,0.0140690558105625,0.0246172867153465,0.0159474590896835,0.170841243967597,2.42773237251369,0.141643899289875,0.140616349387999,-3.88395624090896,0.151503930293573,0.389235057893778,102679.670785644
"5",0.0642386432549885,0.0224006096948748,1.18177506410854,-0.133646627327925,-1.07291801112934,0.0142095224988673,0.024268035930661,0.0147009156228086,0.171390509187122,2.49510381151959,0.143832200161488,0.137786002872491,-3.8527746418123,0.15455645914261,0.393136692694297,102678.084685212
"6",0.0642318642025531,0.0225618087647038,1.17658044461972,-0.133031808275939,-1.07200646850326,0.0141986264250524,0.0244106850644303,0.0146097358384854,0.171063095009962,2.48948659395597,0.144348644646653,0.150068240952485,-3.88162886502856,0.154568241263509,0.393151677172448,102680.879714768
"7",0.0640047021923614,0.0269344676436314,1.20818086288383,-0.140517864950637,-1.05666794615792,0.0137053561268868,0.0247795437276088,0.0144690845253574,0.171802544907008,2.47116832093402,0.13582096595832,0.149608806937279,-3.91053458414324,0.152030228439112,0.389910539020314,102682.046250658
"8",0.0753875551292276,0.0246349526389103,1.188038570975,-0.140865773484729,-0.989118827661119,0.0134476914807862,0.020864135821097,0.0156139299687763,0.168964223409931,2.46927156879196,0.163676675273434,0.118561018841542,-3.82873561906334,0.154291092228276,0.39279904815093,102682.394654584
"9",0.0770755671039534,0.0233425718969989,1.20581761467042,-0.133901787325901,-1.01050971264142,0.0131685668472687,0.020745557905318,0.013939123275128,0.164805428993584,2.49965313482864,0.16018389542166,0.159670155355576,-3.66668058885318,0.151475407061849,0.389198416057734,102677.876720265
"10",0.0776726472477096,0.0224838919601527,1.18803404025765,-0.133524526510106,-1.00649553531344,0.0135590706194334,0.02076486773136,0.0150480182383818,0.164962874639031,2.49761863570349,0.161753376560184,0.122705867221289,-3.68105347675512,0.150457771328286,0.387888864661369,102680.502428886
"11",0.0742671620712664,0.0226256289024659,1.17133095797815,-0.133224124570633,-1.10295752040151,0.0145835966481033,0.0240649978305312,0.0150710383818976,0.168463865287847,2.47960962299994,0.137844098915212,0.146219025347822,-3.7648406132991,0.150551470660964,0.388009627020985,102678.832528602
"12",0.0659401185061845,0.0226675721625507,1.16469747308385,-0.130765716968567,-1.02911443414098,0.0141033665968509,0.0231525978410806,0.015802982284566,0.163373898950669,2.46029666065541,0.165493401390235,0.123580645380197,-3.6128795989824,0.15096248792414,0.388538914298349,102675.36725643
"13",0.0660130766436439,0.0249756070481494,1.18964671089535,-0.125460116702963,-1.02743280434245,0.013575419330971,0.0232893186185793,0.0146039779871969,0.164613792831654,2.47551962110485,0.159427751017166,0.148876507040009,-3.69356942123677,0.155165294242247,0.39391026166152,102680.035631875
"14",0.0661833119295449,0.0262157410110446,1.23466773360877,-0.146067563009894,-1.01796654165919,0.013163116564707,0.0234319953057053,0.0145152440912929,0.168822186324116,2.4974300788546,0.128443005842047,0.129482661679598,-3.80969936273769,0.15227989106148,0.390230561413993,102679.992570067
"15",0.0668987006978091,0.0221099441481324,1.15830421342079,-0.125306419201659,-1.04999273072904,0.0147460472263373,0.0237201802772334,0.0153913730032011,0.165677681832756,2.46380984623474,0.143458493344197,0.141608377315488,-3.70374272951539,0.152226436388835,0.390162064261551,102679.589556277
