aggressive,age,race,education,incom,car_type,redcar,y
-1.8041286,7,0,8,-1.338828855452739,7,1,0
-0.11153453,7,0,13,1.5941473888539743,7,1,0
-0.8455512,9,0,18,-0.1711356365313851,8,1,0
0.8489615,3,1,5,-0.5633105277611702,0,1,1
0.122376285,4,1,1,-0.1547473744984806,10,0,0
1.3350475,2,1,2,-0.8907706645822435,0,0,1
0.619644,6,0,7,0.4069688945113667,1,1,1
-0.5498301,6,1,10,-0.8236143410900854,3,1,1
-0.6082269,5,0,3,-1.2394076104697789,7,1,0
0.8465022,6,1,7,-0.0561605282457426,3,0,1
-0.56124455,5,1,2,-0.9093673832309296,5,1,0
-1.9332876,7,1,8,1.2322047668719938,8,1,0
0.02202453,5,0,7,-0.2371926122079738,1,1,1
0.84950906,6,1,6,1.8122329563443995,3,1,1
-0.5679493,5,0,4,0.73651827244726,5,1,0
-1.3031412,3,0,1,-0.3676596380077567,5,1,0
-1.2273949,5,1,5,0.4751053471814919,1,1,1
-0.9024899,4,1,2,-1.8984665313029077,6,1,0
0.026689366,8,1,10,0.2065811544711257,9,1,0
0.07745916,4,1,2,-0.7723177057013655,5,0,0
0.47780842,5,1,4,0.2639336394676818,4,1,1
-0.053080328,4,1,1,-0.2887885577998276,1,1,1
-1.2760355,5,1,7,2.4955017133299457,4,0,1
-0.1040557,2,1,1,-1.068258018416784,1,1,1
1.8796731,6,0,4,0.8524302101773834,4,1,1
0.11534308,4,0,4,0.5438832862256199,3,1,0
-0.024817526,3,1,1,0.8696114109657027,3,1,0
0.23108545,4,1,4,-1.4943651504076836,4,1,0
0.18778062,4,1,2,-0.5433625163327962,3,0,1
-2.5544915,7,1,8,-0.4769324147197867,4,0,1
-0.3420998,6,1,7,-1.0604777983942364,5,1,0
1.1159557,5,1,6,0.0752385391991984,5,1,0
-0.4124283,6,1,7,-0.4806685447724396,3,1,1
-0.3197823,8,1,9,-1.7203050860608184,6,1,0
-0.778042,5,1,2,0.1592416201392944,4,1,1
0.5310783,3,0,2,0.3173431862109375,3,1,0
-0.005430105,4,1,4,0.1699201954158371,3,1,1
-0.65790665,4,1,6,1.134913657921234,1,0,1
-0.78736573,5,0,5,-0.85388771876926,5,0,0
0.21653578,3,0,3,-1.0896910448929962,1,1,1
0.32737282,6,1,5,-0.1794929446785619,2,1,1
0.7056436,6,1,8,0.3292496856830773,6,1,0
1.6208802,7,1,4,-0.5700450922998862,3,1,1
-0.8909197,6,1,8,-2.079247875887707,5,0,0
0.043203317,5,0,5,-0.5473887281614527,3,1,1
-0.026408346,6,0,14,-0.5487037649334898,4,1,1
-0.046729382,5,1,2,0.2404397336651817,6,0,0
-0.9737413,4,1,1,0.6843163767956976,4,1,0
-0.7202222,3,1,3,-0.8658053299686258,3,1,0
-0.5488982,6,0,9,-1.985399278202825,4,1,1
-0.9169399,4,0,4,0.4071904580405111,7,1,0
-0.061735593,4,1,4,0.2089703671037705,6,0,0
0.38033968,5,1,2,-0.4304107144094505,4,1,0
0.30685514,5,1,3,0.0856313727101195,5,1,0
0.8604416,4,1,5,-0.2033274533866949,2,1,1
-0.691842,4,0,4,-0.8960662423922379,2,0,1
0.5424349,5,1,7,-1.9337775598263696,2,0,1
1.0891974,3,1,0,-0.2276980949580071,2,0,1
2.19686,6,1,5,-1.117863383637167,4,1,1
-0.6027498,4,1,2,0.9051397081312308,2,0,1
1.4000016,7,1,9,1.3859251195791766,10,1,0
-1.6421288,3,1,0,0.375461688374302,3,0,0
0.4983611,7,1,4,-0.7641854142156542,2,1,1
2.5786977,5,0,3,-0.1917813330939683,3,1,1
1.8682231,6,0,3,-1.9785180097898607,5,1,1
0.72525465,3,0,0,0.922563425279858,3,1,1
0.21356294,4,1,4,0.265211037902256,4,1,0
-3.1265311,5,1,5,-0.5318033418632075,8,0,0
1.7247936,3,1,2,0.4645056339138078,0,1,1
0.36902133,5,1,4,0.8532872228060254,5,1,0
-1.1458004,7,0,8,0.5436173305240333,7,1,0
1.3442816,4,0,3,-0.3495215010386411,0,1,1
-0.6479483,4,0,5,0.0837836657836717,3,1,0
-0.57275456,6,1,7,0.7596171864608412,4,1,1
0.054493826,5,1,3,0.4282346997692113,2,1,1
0.5016713,5,1,5,0.0250925563475916,5,1,0
-0.1310917,4,1,1,0.036110194042106,7,0,0
-1.8719746,3,1,3,-2.478346136205761,3,1,0
2.2901156,6,1,5,-2.340954017984008,2,1,1
1.1071875,4,1,3,-2.0971787597990823,3,0,1
-0.3143159,5,0,2,-0.2936983229340427,4,1,1
-0.15167785,5,1,3,-0.0056093960077428,2,0,1
0.07532569,5,1,6,-0.6330162912091124,2,1,1
0.10656163,2,1,3,-0.5975361124675789,0,1,1
-2.0989182,4,0,2,-0.4451442680342328,5,1,0
0.48141545,5,1,3,-1.4121453027116884,6,0,0
-1.4989133,4,0,2,-0.1465433710212003,3,0,1
0.39593384,7,1,12,-0.0507458516078203,4,0,1
1.3943325,7,1,7,-0.8908290260293427,5,1,1
0.17348559,5,1,3,-0.4352359729090632,6,0,0
-0.04882071,7,1,4,-0.7190700729761366,13,1,0
-1.4613464,5,0,4,-1.014005295296627,2,0,1
-0.15833816,4,1,4,-1.80264917464451,4,0,0
1.081062,5,0,5,0.7359220750467362,6,1,0
-0.28339368,4,0,4,-1.1787953654631835,3,1,1
-0.75648594,4,1,4,0.2787578207306337,3,1,0
0.5857483,6,1,5,1.4689834113007867,9,1,0
1.9002354,5,1,5,-0.3475752727297264,4,0,1
0.8238676,5,0,2,-1.2227301650273372,2,0,1
-0.0938597,6,0,11,1.1393003471387129,3,1,1
-1.0092639,3,0,1,-0.4990241977426146,4,1,0
0.35675794,7,1,5,0.3986794595980745,5,1,1
-1.455432,5,1,6,1.22129056456573,3,1,1
0.35724527,7,1,11,1.3326889464335745,7,1,0
0.55517834,5,1,0,0.66500710861345,6,0,0
0.0016097352,6,0,8,-1.1383756116291628,7,0,0
-0.45019662,3,1,5,1.4333130425530405,4,1,0
-0.40719995,6,1,4,-1.9303198465024989,10,1,0
1.2099011,3,0,2,0.6879446164562711,6,0,0
1.5042585,4,0,1,1.3805799945151005,5,0,0
-1.9821869,5,1,5,0.8434471412718193,7,1,0
-0.89539605,4,1,4,0.4045977908161203,4,1,0
0.8908801,5,0,3,-1.709919348900885,5,1,0
0.6667328,7,0,10,-0.411943978996684,2,1,1
-0.8077661,7,1,6,1.2779674489090538,14,1,0
-0.25336766,4,1,2,-1.1960613863775933,2,1,1
-0.07908216,6,0,2,1.2753171171406712,10,0,0
0.76666516,6,1,5,0.5826732560932921,5,1,0
-1.0448879,6,1,7,2.538433662909885,4,0,1
-1.2759259,6,0,4,-0.0713680370066852,7,1,0
-0.3183364,5,1,3,0.5168727069568883,6,1,0
0.38403645,4,1,4,-0.0900786135879389,1,1,1
-0.049107946,5,1,4,2.0428957144428272,7,1,0
0.02969064,6,1,8,-0.3592522606976229,2,1,1
-1.3099866,6,0,7,-0.2548389516815943,9,1,0
1.3077008,4,1,3,1.1197870524248168,6,1,0
0.8687006,3,0,2,0.0630003563204687,0,0,1
-1.1505553,3,1,0,0.9875471384369808,3,1,0
-1.1697859,5,1,5,2.1370277344256112,7,1,0
-0.22427557,3,1,3,-0.0729698839990987,3,0,0
0.13848224,4,0,6,-0.9278107800658874,2,1,1
-0.96066856,4,0,2,1.175797026145221,2,0,1
1.4763126,7,0,6,0.8337750296657065,5,1,1
-0.76842636,6,1,12,0.2310147233833109,3,1,1
-0.6303022,6,1,5,1.061490990769936,5,1,0
0.67650676,6,1,6,-2.2160058040732857,5,1,0
-1.2922825,6,1,5,1.1204272247276383,6,1,0
-0.018003674,6,0,4,1.0909567061100942,6,1,0
0.4074661,7,0,9,0.5580723747570574,8,1,0
0.36647213,3,1,5,0.1498511710126407,1,1,1
-1.568217,4,0,4,-1.3699463183599678,1,0,1
-1.7121651,6,1,11,-0.4022226774167158,6,1,0
0.12954362,6,1,5,-1.8520453499331528,3,1,1
-0.72734505,4,0,3,0.1167328713767576,5,1,0
-1.1863099,5,1,8,-0.8081411482276551,1,1,1
0.3664087,4,1,1,-0.1840041580502915,3,0,0
2.2966356,7,0,8,0.696717163886431,3,1,1
1.4607713,4,0,6,0.7877507229091172,4,1,0
-1.4168336,7,0,9,0.3398472754942826,11,1,0
-0.24107805,6,1,8,-2.335184647480401,4,0,1
1.6390829,4,1,4,0.1094414682669341,2,1,1
1.1950386,6,0,6,0.3835965065902915,9,0,0
-0.91196287,5,1,1,0.1210190626508814,5,1,0
0.009561145,2,1,2,0.4372919430515609,3,0,0
-0.57237375,4,1,3,0.0126330297003585,2,0,1
-0.8303583,3,0,1,-1.205758250141376,3,1,0
-0.7086903,3,0,0,0.2626820115904891,5,1,0
-0.124609984,8,1,12,0.4295724632841988,9,0,0
-1.0977633,2,1,2,-0.5731827817455557,1,0,1
0.500191,6,1,7,1.1661080566013269,5,0,0
-1.745149,7,0,6,0.1397645087462337,12,1,0
-0.77992773,6,1,6,-1.1419628348642974,7,1,0
1.8402089,7,0,6,0.1985401984044009,3,1,1
0.81986135,6,0,4,0.7775851867774916,2,1,1
0.9287049,6,1,4,-0.6165817204926192,4,0,1
-0.10043608,5,1,5,-0.2290490980536723,4,1,1
0.7339194,5,0,3,-0.288630185395778,2,0,1
-1.0272572,7,1,13,-1.350183644674654,4,1,1
-0.07563824,6,1,4,0.5184952313084406,5,1,1
0.33954734,6,1,3,0.5806249572122555,4,0,1
0.5445465,4,0,5,-0.0275955818078079,4,1,0
1.5483546,4,1,2,-0.1698373936894362,6,0,0
-0.9585003,7,0,6,-0.332756280700254,4,1,1
0.573473,7,1,9,-0.6338047066087107,5,1,1
-0.12573574,3,1,5,-0.6652645182775906,0,1,1
0.14625086,8,0,8,0.424084796235827,12,1,0
0.11254432,6,1,5,-0.8282887725273183,2,1,1
0.27535716,4,0,5,0.1776690048651407,3,1,0
0.022117883,5,1,3,0.3570975327504008,2,0,1
0.07897416,5,1,3,-0.5893809629429202,8,1,0
0.93752414,6,1,7,0.334957583563632,7,1,0
-0.9060836,4,0,4,1.4542651552197718,2,0,1
-0.5337677,4,0,3,-0.9600927752679193,3,1,1
-0.23011315,6,1,5,0.505826965315691,6,1,0
-0.7960705,5,1,6,-0.4840101550297113,2,1,1
0.13927421,6,0,7,-0.1005196798086735,2,0,1
0.86894536,5,1,6,-0.3389105220555236,3,0,1
0.285348,8,0,13,0.2275891309038676,6,0,1
2.6702344,7,0,12,-0.5022134166576796,6,0,0
-0.24079257,8,1,16,-0.0687282508918495,4,1,1
1.1429672,4,0,4,0.5177263633451228,8,0,0
0.43190023,8,1,6,-0.1431939983562088,5,1,1
1.52923,6,1,5,2.6487333667384148,9,1,0
-0.89415526,4,1,2,0.5869226301736495,3,0,1
-0.3267021,2,1,3,-0.845813718871814,2,1,0
-0.12243109,7,1,14,-0.1182696147462612,6,1,0
0.1659821,6,0,6,-1.367502886569127,4,1,1
1.367571,2,0,2,0.1498302368522764,1,0,1
-0.7974705,4,0,2,0.4084011865462832,6,1,0
-0.3171103,3,1,2,0.1959394011965833,2,1,1
1.9233093,5,1,6,0.6576248976943793,7,0,0
-1.0143958,7,1,12,-0.2065420278434189,9,1,0
0.8681532,5,1,2,1.111034232305416,4,1,1
0.7084501,6,1,5,0.2008955215297111,6,1,0
-1.47098,4,0,4,0.1452020650206991,3,0,1
0.889145,6,1,8,1.6820222612207418,5,1,0
-1.1094046,5,1,4,-1.02897794097491,2,0,1
0.56584996,3,1,5,0.3993405856480321,2,0,1
0.5993533,6,0,4,0.6428127691186521,7,1,0
1.2138399,6,0,2,-0.363783416470972,5,0,0
-0.5275041,2,1,1,-0.6914163369776305,2,0,0
0.5668479,6,0,4,-0.5381475626922161,8,1,0
-0.4265583,7,0,5,-0.8169060287224029,6,1,1
-1.5541788,3,0,4,-0.6455510989769382,3,0,0
1.9885871,3,0,2,0.293909272158554,0,1,1
0.390158,6,0,6,-1.054749400676578,9,1,0
0.22705673,5,1,8,-1.480436776016591,2,0,1
0.6796943,4,1,0,-0.5540820981020856,6,0,0
-0.66764045,5,1,5,-0.7875371219571538,6,1,0
0.06171626,6,0,2,0.0363372901501963,5,0,1
2.00674,4,1,5,0.242285427314866,4,0,0
-0.65031743,6,0,4,-0.1011546279118495,3,1,1
0.6679878,5,0,4,-0.3907891485111517,3,1,1
1.4365232,7,0,13,0.1272273097131576,3,1,1
-0.43488598,2,0,3,-0.7137725231253208,3,1,0
-0.49082434,5,1,5,0.6432103734667095,8,0,0
0.24334152,7,1,13,-0.7073952913549235,8,0,0
1.7457178,4,0,5,-0.258830256047532,2,1,1
0.528615,4,1,5,0.1974450044792865,1,1,1
0.60382074,4,0,4,-1.3146603415769664,3,0,0
-0.94334126,5,1,7,-0.1253674577075963,4,0,0
0.38572255,5,1,4,0.406213293881498,9,1,0
1.8490725,5,1,6,0.564330577895015,4,1,1
2.2985113,4,0,5,0.1498373676037575,3,1,0
1.4856299,6,1,8,-0.6569374081823647,5,1,1
0.717013,4,1,2,-0.7810263097744001,2,1,1
0.10709373,5,0,4,-0.9195871459575254,5,0,0
1.0581713,8,1,13,0.3778620485033758,5,1,1
0.875293,4,0,5,-0.1619779475388246,0,1,1
-0.7414812,4,0,2,0.4620295461369267,3,0,0
-0.30362514,6,1,7,0.1233797773681889,3,1,1
-1.7473727,7,1,8,-0.3317681947819915,2,1,1
0.407243,5,1,10,-1.0636061336924465,5,0,0
0.5234235,3,1,0,1.674407668147005,3,1,0
2.134768,6,1,7,0.6724980967967737,4,0,1
-0.11875628,5,1,3,-0.2168374621106444,8,1,0
0.25979367,6,0,5,0.5801953263570377,3,1,1
-2.6713457,7,1,8,-0.5587047192756963,2,1,1
1.4084804,5,0,3,0.0787236460306347,3,1,1
-0.8944885,7,1,8,-0.6096709146454664,5,1,1
0.50780034,7,1,4,2.592293102867574,9,1,0
0.5666122,4,1,6,0.5060099490508312,1,1,1
0.82103556,6,1,1,0.914473213060822,5,0,0
0.3693829,6,1,5,0.5827372332928766,8,0,0
-0.079346076,4,1,3,-0.3149887644594886,4,1,0
0.42438576,8,0,13,-1.171791695044411,5,1,1
1.0621519,6,0,3,-0.4117413618830146,6,0,0
-0.46763623,8,1,11,-0.9969673736067534,11,0,0
-0.07584434,6,1,8,1.2765075657502605,7,1,0
1.5903907,7,1,5,2.8272952373251217,7,1,0
1.2627779,5,0,3,0.1536859512579706,3,1,1
-0.57537884,4,1,3,-2.1934458607528056,1,0,1
-0.84782314,6,0,7,-0.1530820860889592,9,1,0
0.5185337,3,1,2,-0.5633216244122529,1,0,1
0.88243604,5,1,10,-0.0520682311918743,1,0,1
1.3039387,7,1,6,-0.8952179919466537,3,1,1
0.47917274,4,0,4,1.1263989577649454,3,1,1
0.8363695,4,1,3,-1.5442651687546851,4,1,0
1.0759369,3,1,3,-0.2100544188374909,3,1,1
-1.3261181,4,0,3,-1.2417348818918,1,1,1
0.25041062,6,1,7,-0.5501344374210223,9,1,0
-0.4363425,5,1,2,-0.500170097944007,4,1,1
1.7384597,4,1,3,-1.4809163938015115,1,0,1
0.17365202,6,0,7,0.340387442157177,4,0,1
0.12036042,4,0,1,-0.5565763690696275,1,1,1
-0.7235796,3,1,4,0.6033239948575666,0,0,1
0.790233,4,0,5,-0.5558434651814874,1,1,1
0.35658303,6,1,12,-0.130333972629498,5,0,0
1.9184675,5,0,4,-1.0294654324999513,4,1,1
0.99823177,6,1,4,-0.4355675979748584,3,0,1
-0.008688816,4,1,6,0.7677549414469432,3,0,1
1.2342964,7,1,4,0.7244748574833724,8,1,0
