age,workclass,educational-num,marital-status,occupation,relationship,race,gender,hours-per-week,native-country,label
4,4.0,15.0,1.0,8.0,3.0,4,0,-0.6124744452537126,39,0
3,3.0,15.0,7.0,7.0,0.0,4,1,0.415850074147596,39,0
1,5.0,13.0,8.0,6.0,0.0,4,1,0.05237733471289015,39,0
5,7.0,1.0,2.0,7.0,0.0,3,1,-1.5184967963538043,39,0
3,3.0,12.0,4.0,6.0,0.0,4,1,0.7614407804832402,39,0
3,5.0,12.0,4.0,12.0,0.0,4,1,2.4171738009236376,39,0
1,6.0,7.0,7.0,8.0,5.0,4,0,-0.5832360049396341,39,0
1,5.0,8.0,6.0,10.0,2.0,4,1,0.9026076539366901,39,0
4,0.0,5.0,2.0,3.0,0.0,4,1,-0.28457485122051446,39,0
2,3.0,10.0,3.0,6.0,1.0,4,1,0.2575809119791337,39,0
5,4.0,14.0,2.0,9.0,0.0,4,1,-1.0826613653188977,39,0
1,7.0,8.0,1.0,7.0,2.0,4,1,-0.10875611502202401,39,0
2,3.0,10.0,3.0,6.0,0.0,4,1,-0.7649337179630127,39,0
1,5.0,11.0,1.0,9.0,1.0,4,1,0.24124352761006534,39,1
5,7.0,16.0,2.0,7.0,1.0,2,0,-0.42157853818101787,39,1
2,3.0,12.0,3.0,8.0,1.0,4,0,-0.7678026608750346,39,0
4,3.0,14.0,3.0,6.0,1.0,4,1,-0.3554238789808263,39,0
5,4.0,9.0,2.0,6.0,0.0,4,1,-0.7378658208420815,39,0
3,7.0,7.0,2.0,8.0,2.0,4,0,-0.367109855198291,39,0
1,1.0,7.0,3.0,2.0,4.0,4,0,-1.4681846473744835,26,0
1,6.0,10.0,3.0,6.0,4.0,4,0,-0.4170747010446645,39,0
2,3.0,6.0,1.0,5.0,4.0,4,0,-0.6560649785362054,39,0
2,4.0,12.0,4.0,8.0,0.0,2,1,0.7849333069808273,39,0
7,1.0,12.0,5.0,7.0,0.0,4,1,0.6703275385925285,39,1
2,3.0,6.0,4.0,3.0,1.0,4,1,0.28967320517641715,39,0
1,4.0,10.0,0.0,8.0,1.0,4,1,-0.45332059438399946,26,0
1,3.0,6.0,4.0,3.0,2.0,4,1,-1.5490554739408047,39,0
2,5.0,14.0,7.0,8.0,0.0,2,1,2.126985743400392,39,1
4,2.0,13.0,0.0,6.0,1.0,4,1,1.8049331891853448,39,1
2,3.0,8.0,4.0,5.0,3.0,4,0,-1.4190268486621629,39,0
3,6.0,16.0,5.0,7.0,0.0,4,1,1.3052316661658592,39,1
1,1.0,11.0,7.0,4.0,5.0,4,0,-0.020027506410101314,39,0
