"","sex0","racesex","racep","racej","race0","agep","agej","age0","psex","pj","p0","j0","dsex","dp","dj","d0","yrace","yage","yp","yd","lp__"
"1",1.8641467125291,-0.134424375274267,-0.338783852005442,-0.845723718515053,-0.537226599176486,-0.358190805871464,0.245904598485179,-0.49870959556657,0.0796805820326746,0.0998330841844973,1.67070048767683,-2.31416525887385,-0.0802025386456656,-0.0592811359997706,-0.121533801501232,2.28773719157733,-0.226003346839791,0.0769651291297537,0.55512384314207,-0.502679908069167,58065.6987947037
"2",1.95251259737893,-0.2295889144556,-0.345981356143619,-0.738001178167346,-0.516350141625643,-0.360409285837424,0.233279573256592,-0.491988901820605,0.0751469026025126,0.10015252946348,1.69804225832472,-2.33014702533724,-0.0734397851419718,-0.0608033783073365,-0.125656450722801,2.29125097451154,-0.258217946901963,0.091178563213326,0.567183735708714,-0.498421333783343,58069.9784638785
"3",2.00412368091646,-0.235168450196899,-0.346634915729388,-0.99419802928626,-0.537303673806065,-0.360347327130493,0.267002010786229,-0.469251114535803,0.062038364086957,0.110156053733619,1.66118866278744,-2.46916707219857,-0.0771084370107975,-0.057034943915777,-0.123930856118098,2.27347063203885,-0.335478875287241,0.0556100363898869,0.570683234381635,-0.499468022940642,58069.4489084816
"4",1.95032017961821,-0.274002294629033,-0.344209475119873,-0.854919745030873,-0.543128616383596,-0.349973882380313,0.28944870622358,-0.48431122331735,0.0561898440997817,0.107110833037319,1.66339454168547,-2.42313385620284,-0.0744200491109002,-0.0591087968921611,-0.125421358807606,2.27558924738991,-0.377667411981844,0.0902540956650937,0.572737644091107,-0.498435942199374,58072.8446653202
"5",1.80859684813278,-0.273301098707831,-0.36471253559534,-0.925969433527153,-0.541877823277874,-0.355529973055977,0.272439279719667,-0.513174024806454,0.080043471865341,0.109511232272278,1.80395452058866,-2.4443032690735,-0.0647022492307515,-0.0706652177640994,-0.122031044629332,2.27133700439605,-0.376990902932195,0.12783215645555,0.500176930743764,-0.488572448338611,58075.3027291461
"6",1.93364540504979,-0.291464081143378,-0.369680808697403,-0.872018283440239,-0.507550707736104,-0.354051719542946,0.297738342708278,-0.505388682247992,0.0829095043940813,0.109533277740417,1.7714672366516,-2.47483710865894,-0.0762069791903653,-0.0666299875879568,-0.12635662512345,2.27934570747847,-0.386716938957696,0.159373170752316,0.504917200875836,-0.4885910481498,58077.0889049922
"7",1.92826766091376,-0.252267469241593,-0.355451506751957,-0.805508817301689,-0.432488051898589,-0.359051821088619,0.260028223510907,-0.520118324833566,0.0591143177930573,0.112862978441577,1.71116587554994,-2.51997593874938,-0.073628863909354,-0.0625176653156178,-0.119453143158689,2.27076674635346,-0.437583478121714,0.122755768292157,0.556538955392335,-0.474494374689105,58071.8967319829
"8",1.97875474364687,-0.3151236157479,-0.375903337566229,-0.815096102253461,-0.528682074320057,-0.342817817263398,0.290500956167489,-0.515226006452468,0.0777957768512434,0.0998473908450639,1.77453198924625,-2.48886360809579,-0.0777552485372863,-0.068363374631483,-0.108396309481437,2.28300376800192,-0.374071491142086,0.114219626324338,0.519316350761257,-0.490327822041374,58074.9894167507
"9",1.8915236937147,-0.181895750665752,-0.375054174789438,-0.812281876131728,-0.494032836150286,-0.361727112941602,0.25048331069843,-0.493934652111553,0.0554401360374905,0.105425640919366,1.73436932116992,-2.44944495843127,-0.0712167728909117,-0.0624385542964295,-0.116621756490189,2.27750232738356,-0.394338646242843,0.124589857254057,0.528083039030192,-0.490980536558763,58076.714503213
"10",2.04456756463901,-0.165618528565688,-0.346122570172183,-0.970232679768238,-0.50547051709095,-0.355076362140352,0.329114912162602,-0.491812074861021,0.0664904712143961,0.102810174221551,1.73387615378951,-2.51303635399019,-0.0855484969989832,-0.0642032499652779,-0.109436834576343,2.27703092891483,-0.378372167393943,0.119487371395059,0.538394815443433,-0.493578954692494,58076.8597601099
