"","sex0","racesex","racep","racej","racey","agep","agej","age0","psex","pj","p0","j0","dsex","dp","dj","d0","yage","yp","yd","y0","lp__"
"1",2.06390709633271,-0.367258190891124,-0.35180686075935,-0.896722666977668,-0.413573815938114,-0.357369355753997,0.310593118774697,-0.50393671963549,0.0629640940951055,0.108337578182027,1.80713684185138,-2.29021500077172,-0.0793546608943354,-0.072122068958167,-0.149127725880242,2.2762617013425,0.0975461053914775,0.490146785128708,-0.490834383745138,-0.111909024624208,57729.3300853514
"2",2.15870904079794,-0.376408708826275,-0.3836845811138,-0.904525779437706,-0.363862424589108,-0.349015149297611,0.278343691800769,-0.515001657113916,0.0437887999785582,0.0968798772527465,1.7597104281867,-2.43659965426903,-0.0896495250515963,-0.065748935091607,-0.105087816599681,2.28052577652744,0.16613475943593,0.519910093656212,-0.485628423657192,-0.062374797568386,57729.2945824344
"3",1.95451242564997,-0.232593582433629,-0.340267965151062,-0.816367331522651,-0.433300442614806,-0.351288989422361,0.297415623548057,-0.502930306644282,0.0785435217807763,0.111562651762433,1.72115802351538,-2.42294094302803,-0.0807709240857599,-0.063808441848063,-0.140298528220748,2.27553817671323,0.092090466615477,0.539079774731615,-0.491419967493447,-0.0513988389735133,57735.5576201277
"4",1.9557461283925,-0.224284694534361,-0.362758495305619,-1.09666159940441,-0.341961372961874,-0.349606605087882,0.237036824690867,-0.484261916358689,0.0555447709289976,0.0928474988747409,1.75155812733229,-2.33053612747687,-0.0732165327605727,-0.0649637238496339,-0.110853132385705,2.27892057918318,0.110768532854497,0.51990123675553,-0.474447781414668,-0.064712464354583,57733.5006477995
"5",2.06883049421951,-0.332281233218778,-0.349450094785168,-0.783724943905279,-0.352943948859219,-0.354538575840762,0.264540733257636,-0.514786637781871,0.0767253636407279,0.105168866502732,1.73940207905659,-2.13009770196787,-0.0898395321376591,-0.0642301672332216,-0.16930030723815,2.28182935997218,0.134075512807288,0.516892098575664,-0.505490978449233,-0.0904326044779174,57732.9630469933
"6",2.01002874304682,-0.0864600806747542,-0.352737785730253,-0.942046506535947,-0.389552813875435,-0.346570114282386,0.265365527563891,-0.49158583833886,0.0565100011686445,0.0974997708066632,1.73629164643331,-2.41814207827116,-0.0824931170244829,-0.0637481753312412,-0.116064091714617,2.27572665332418,0.147887820505974,0.524969772771908,-0.482330184055449,-0.0566620017859942,57731.5009696086
"7",1.92812227974153,-0.125176492948751,-0.371353411192422,-0.750107277763723,-0.376730436828436,-0.342849825518776,0.281688729017708,-0.495912203825173,0.0674387943442872,0.0975159374019748,1.75702624290303,-2.29874581397078,-0.0808727745201163,-0.0657688143409055,-0.126873734658465,2.27306705527696,0.141028159615121,0.521699336357703,-0.482912623255024,-0.0696284424415502,57735.1391129805
"8",1.67711111460114,-0.240394611507048,-0.346701528984808,-0.833776028399383,-0.336629806087393,-0.360634356663707,0.262533974006382,-0.518421948132849,0.0785979055064455,0.108592662429633,1.7177344299489,-2.31038312018376,-0.047222357862046,-0.0636611910570685,-0.136875198687727,2.28439873188097,0.0962617171787846,0.54861217217435,-0.494466040514261,-0.0747717077166148,57735.3039169956
"9",1.9090661486156,-0.242295182881465,-0.363658585892423,-0.863816060155719,-0.38352510609791,-0.346512454010586,0.249458878544365,-0.526884505454948,0.0693877835314912,0.0943979647788628,1.74073421261241,-2.26025550284306,-0.0705118729705707,-0.0646297227996219,-0.127679529712569,2.27904995043568,0.180590748303244,0.536462917941498,-0.483714423330278,-0.0790363500648441,57737.3442111775
"10",1.85732088115555,-0.323061984522608,-0.361089542584258,-0.794902102226804,-0.358728310320248,-0.367301566961903,0.255496199107666,-0.501493474555912,0.0716675131132773,0.108330153802744,1.70056890160288,-2.28803834672232,-0.0614344033102666,-0.0601798632179728,-0.145716863913594,2.27501819966782,0.102154309072734,0.560672860794987,-0.494840482764057,-0.0593830710877493,57735.1595555549
