"","sex0","agesex","ageca","age0","cpthalach","cpexang","cplabel","thalachage","thalachexang","thalach0","exangthal","exang0","oldpeaklabel","oldpeak0","slopethalach","slopeoldpeak","ca0","thalsex","thal0","labelthalach","labelexang","labelca","labelthal","label0","lp__"
"1",-0.180394810490993,-0.322326339707123,0.259184345754587,1.20484492976277,-0.0296074437543511,0.979567833112942,-0.314792877132208,0.00263968689419314,-0.0323748822392902,5.21970646594069,0.10684088462879,0.53967538970342,0.909386572783963,-2.12652935926882,-0.0603554095833043,1.07043410814049,-2.1691950159607,0.560361066224225,1.38620556831038,-0.0778335987485465,-0.120130969805415,1.08403252707482,0.37620129441462,-0.285677112298476,178968.727662166
"2",-0.209349794989388,-0.27447149172065,0.24832207333697,1.25123307129593,-0.0305468059907176,1.2351540164429,-0.331594085212221,0.00238050565916189,-0.0381804170290618,5.22822186798259,0.196983149381284,0.50723963742198,0.712788846337819,-2.06985678061196,-0.061568750485825,0.995204944643282,-2.05378766486234,0.512326640006963,1.40047449437492,-0.106086303122913,-0.113522151394035,1.19409755483734,0.297531198870836,-0.30522347548028,178967.077207476
"3",-0.216045259841541,-0.270770750763997,0.222975834737057,1.23927341176877,-0.0276533569507858,1.24503718170409,-0.266912763615417,0.00234376812530226,-0.0382209720186339,5.22468153816795,0.159404924186095,0.51022663113881,0.718155688114903,-2.08403766287986,-0.0671558024180944,1.00819647251871,-2.11988061856101,0.554614844841604,1.39001771549218,-0.106532577567955,-0.110018177019306,1.16903863213844,0.321150881103075,-0.306825202833895,178966.850729689
"4",-0.212194941146674,-0.267478043645041,0.271568895744103,1.22138023662285,-0.0227384351827151,1.32464750851733,-0.271247612307125,0.00234952187004271,-0.039244306348803,5.20647834298027,0.170776214365882,0.508009503043072,0.725441738976458,-2.08908383204258,-0.062132233456878,0.985767717955064,-2.15014588383293,0.495039807534916,1.37691016654115,-0.105749039842788,-0.133984747652423,1.20221196960972,0.265207752210197,-0.318029077437996,178963.090595325
"5",-0.2126342900514,-0.274780339289701,0.252557190510664,1.22229103842445,-0.0366897733527924,1.09137815363724,-0.343084978826305,0.00239292703751529,-0.0336980244981127,5.24971982645659,0.123685586434499,0.499803611450931,0.786830580972229,-2.0516855664524,-0.0668386523467113,1.04668385966086,-2.11837228431911,0.500327995732569,1.37892592959064,-0.0741846071217435,-0.14879811908532,1.20197050233721,0.295483025772144,-0.31968776057869,178969.115372529
"6",-0.1994514339081,-0.280485860562794,0.251364783338517,1.23640694822755,-0.0412851345812006,1.1477015981741,-0.294129132026301,0.00224140529672678,-0.0339622153336561,5.25616918924644,0.170441145349189,0.503736523544876,0.762016215517794,-2.07048708840284,-0.063029779921441,0.975782005434338,-2.17675832176856,0.529461522353987,1.41331006343299,-0.0740799274019851,-0.125901284231611,1.21330505161308,0.349421048550087,-0.319233220655241,178969.332761669
"7",-0.189809376101468,-0.245133366259525,0.250217114341817,1.24092230664823,-0.0218064859405494,1.12566285184515,-0.281652732546088,0.00248374620908636,-0.0333076668729844,5.19689414145566,0.133099374757572,0.502039056695177,0.802496487620845,-2.08940754850827,-0.0590994164333949,0.946431952445057,-2.17127058622067,0.487323797127057,1.4285530556803,-0.101584533779991,-0.123264423335851,1.18909366187616,0.242282725746185,-0.324783051696197,178965.400169381
"8",-0.21112659934498,-0.22066971018919,0.218063059400624,1.24318451346231,-0.0251180706641899,1.25815261984534,-0.289205475512104,0.00220393603888784,-0.0382426777477106,5.20850957017879,0.140890954098319,0.497710953333258,0.804649379948315,-2.10235267985718,-0.0656875653961225,0.933104358021867,-2.12309277431945,0.492576228743087,1.3547028919334,-0.0757989602420652,-0.136557472996601,1.38276594196074,0.374491821527771,-0.307216169081718,178961.179721419
"9",-0.197685347729456,-0.21171329890966,0.215071916644435,1.27022079546434,-0.0276815265517948,1.21763628381912,-0.302467512138927,0.00217810080314301,-0.0351628034153784,5.22561880804982,0.130986483414628,0.482218423176156,0.745840297115251,-2.15196487248172,-0.0716615487857846,0.949952451579372,-2.10468556371955,0.451953639994697,1.37243134111593,-0.0746478419979704,-0.104712246673867,1.42035852859893,0.362912820690447,-0.300606277680214,178963.472729871
"10",-0.199642568424587,-0.208038904012411,0.198162971432206,1.32624358211563,-0.0323290867215434,1.17287799477309,-0.410516263365694,0.00177783195805147,-0.0348579502403227,5.25390366563191,0.12932055458086,0.483139377440266,0.787218898360712,-2.0920992697921,-0.0762162011850615,0.922698798872233,-2.10427852916672,0.495397506458095,1.38680485059917,-0.0848919927441613,-0.146888037259834,1.52598015677385,0.374469230601212,-0.299905262345651,178961.388322031
